graph,matrix type,start nodes proportion,query,method,run number,execution time in sec
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,1,4.55402991687879
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,1,1.486424291972071
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,2,5.515547084156424
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,2,1.4304057080298662
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,3,4.748608207795769
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,3,1.2886075000278652
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,4,4.558780000079423
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,4,1.245012582745403
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,5,4.5657692910172045
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,5,1.2721017501316965
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,6,4.6164718749932945
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,6,1.262616750318557
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,7,4.55342954210937
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,7,1.3640448753722012
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,8,4.47748158313334
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,8,1.3335945000872016
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,9,4.578795208130032
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,9,1.2633356247097254
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,10,4.548000666312873
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,10,1.2628864580765367
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,11,4.56560687487945
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,11,1.2736912500113249
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,12,4.5702585419639945
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,12,1.2623090003617108
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,13,4.546972499694675
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,13,1.359447707887739
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,14,4.478648708667606
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,14,1.3483176669105887
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,15,4.488492667209357
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,15,1.3197014168836176
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,16,4.544764917343855
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,16,1.2640711250714958
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,17,4.550714291166514
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,17,1.258398292120546
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,18,4.547085083089769
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,18,1.2615107498131692
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,19,4.525751291774213
pizza,csr,0.05,(disjointWith | type)* subClassOf,bfs,19,1.3618900831788778
pizza,csr,0.05,(disjointWith | type)* subClassOf,tensor,20,4.4756060829386115
